'date','min_prcp','max_prcp','avg_prcp','sum_prcp','min_snow','max_snow','avg_snow','sum_snow'
'2013-11-28',0.0,1.980000000000000071,0.3557142857142857828,2.4900000000000002131,0.0,0.0,0.0,0.0
'2013-11-29',0.0,1.980000000000000071,0.3557142857142857828,2.4900000000000002131,0.0,0.0,0.0,0.0
'2013-11-30',0.0,1.980000000000000071,0.28285714285714288251,1.980000000000000071,0.0,0.0,0.0,0.0
'2013-12-01',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-12-02',0.0,0.01,0.0014285714285714283811,0.01,0.0,0.0,0.0,0.0
'2013-12-03',0.0,0.72999999999999998223,0.10571428571428571618,0.74000000000000003552,0.0,0.0,0.0,0.0
'2013-12-04',0.0,0.72999999999999998223,0.12571428571428571174,0.88000000000000007105,0.0,0.0,0.0,0.0
'2013-12-05',0.0,0.72999999999999998223,0.13714285714285714412,0.95999999999999996447,0.0,0.7,0.099999999999999982236,0.7
'2013-12-06',0.0,0.72999999999999998223,0.17999999999999998223,1.2600000000000000088,0.0,0.7,0.099999999999999982236,0.7
'2013-12-07',0.0,0.72999999999999998223,0.21285714285714285587,1.4900000000000000355,0.0,1.3999999999999999111,0.29999999999999991118,2.0999999999999996447
'2013-12-08',0.0,0.72999999999999998223,0.21285714285714285587,1.4900000000000000355,0.0,1.3999999999999999111,0.29999999999999991118,2.0999999999999996447
'2013-12-09',0.0,0.72999999999999998223,0.21142857142857143237,1.4799999999999999822,0.0,1.3999999999999999111,0.29999999999999991118,2.0999999999999996447
'2013-12-10',0.0,0.3,0.10714285714285713968,0.75,0.0,1.3999999999999999111,0.29999999999999991118,2.0999999999999996447
'2013-12-11',0.0,0.72999999999999998223,0.19142857142857142349,1.3399999999999998578,0.0,5.0,1.0142857142857142349,7.0999999999999996447
'2013-12-12',0.0,0.72999999999999998223,0.28285714285714288251,1.980000000000000071,0.0,5.0,0.91428571428571441259,6.4000000000000003552
'2013-12-13',0.0,0.72999999999999998223,0.23999999999999999111,1.6799999999999998934,0.0,5.0,0.91428571428571441259,6.4000000000000003552
'2013-12-14',0.0,0.72999999999999998223,0.23428571428571425272,1.6399999999999998578,0.0,5.0,0.92857142857142864755,6.5
'2013-12-15',0.0,0.72999999999999998223,0.23428571428571425272,1.6399999999999998578,0.0,5.0,0.92857142857142864755,6.5
'2013-12-16',0.0,0.72999999999999998223,0.23428571428571425272,1.6399999999999998578,0.0,5.0,0.92857142857142864755,6.5
'2013-12-17',0.0,0.72999999999999998223,0.23428571428571425272,1.6399999999999998578,0.0,5.0,0.92857142857142864755,6.5
'2013-12-18',0.0,0.71999999999999992894,0.13142857142857142793,0.91999999999999992894,0.0,1.5,0.21428571428571427937,1.5
'2013-12-19',0.0,0.19,0.028571428571428576503,0.2,0.0,1.5,0.21428571428571427937,1.5
'2013-12-20',0.0,0.50999999999999996447,0.10142857142857142349,0.70999999999999996447,0.0,1.5,0.21428571428571427937,1.5
'2013-12-21',0.0,0.50999999999999996447,0.074285714285714288251,0.52000000000000001776,0.0,0.0,0.0,0.0
'2013-12-22',0.0,0.50999999999999996447,0.074285714285714288251,0.52000000000000001776,0.0,0.0,0.0,0.0
